Day,Cash On Hand
11,551915
12,816130
13,787759
14,304491
15,1175242
16,3029487
17,583916
18,434766
19,600536
20,248385
21,734544
22,1616737
23,2931882
24,3187845
25,3941981
26,3967375
27,4288101
28,5244780
29,6231052
30,5297252
31,5320098
32,5059420
33,8292253
34,12177344
35,14724906
36,15123233
37,15546151
38,16169421
39,16414206
40,16125616
41,16253788
42,17126209
43,17408568
44,23884656
45,30446982
46,30326746
47,30754291
48,31385539
49,31672249
50,29954344
51,29926772
52,35725882
53,42043233
54,47614661
55,48275694
56,49210191
57,48717334
58,51128972
59,51803677
60,51971407
61,51839410
62,52202605
63,53130961
64,53662092
65,59823896
66,60095130
67,60301909
68,61187125
69,61800795
70,64650037
71,66364435
72,71459625
73,72770279
74,73869254
75,74289525
76,74798392
77,73271816
78,74086454
79,74250936
80,73693976
81,74544110
82,74953833
83,75979919
84,78746252
85,81192646
86,81830371
87,83435924
88,84034524
89,84735355
90,85548919
